Greedy,US,Soviet,CS,USNN,Crazy,DP,US,Soviet,CS,USNN,Crazy
1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,1,2,2,2,2,1,1,2,2
3,3,1,2,3,3,3,3,1,2,3,3
4,4,2,1,4,4,4,4,2,1,4,4
5,1,1,2,5,5,5,1,1,2,5,5
6,2,2,2,6,6,6,2,2,2,6,6
7,3,2,3,7,7,7,3,2,3,7,7
8,4,2,1,8,8,8,4,2,1,8,8
9,5,3,2,9,9,9,5,3,2,9,9
10,1,1,2,1,1,10,1,1,2,1,1
11,2,2,3,2,2,11,2,2,3,2,2
12,3,2,2,3,3,12,3,2,2,3,3
13,4,2,3,4,4,13,4,2,3,4,4
14,5,3,3,5,5,14,5,3,3,5,5
15,2,1,4,6,6,15,2,1,4,6,6
16,3,2,1,7,7,16,3,2,1,7,7
17,4,2,2,8,8,17,4,2,2,8,8
18,5,2,2,9,1,18,5,2,2,9,1
19,6,3,3,10,2,19,6,3,3,10,2
20,2,1,2,2,3,20,2,1,2,2,2
21,3,2,3,3,4,21,3,2,3,3,3
22,4,2,3,4,5,22,4,2,3,4,4
23,5,2,4,5,6,23,5,2,4,5,5
24,6,3,2,6,7,24,6,3,2,6,6
25,1,2,3,1,8,25,1,2,3,1,7
26,2,3,3,2,9,26,2,3,3,2,8
27,3,3,4,3,1,27,3,3,4,3,1
28,4,3,3,4,2,28,4,3,3,4,2
29,5,4,4,5,3,29,5,4,4,5,3
30,2,2,4,6,4,30,2,2,4,3,3
31,3,3,5,7,5,31,3,3,5,4,4
32,4,3,1,8,6,32,4,3,1,5,5
33,5,3,2,9,7,33,5,3,2,6,6
34,6,4,2,10,8,34,6,4,2,7,7
35,2,2,3,2,1,35,2,2,3,2,1
36,3,3,2,3,2,36,3,3,2,3,2
37,4,3,3,4,3,37,4,3,3,4,2
38,5,3,3,5,4,38,5,3,3,5,3
39,6,4,4,6,5,39,6,4,4,6,4
40,3,2,2,7,6,40,3,2,2,4,4
41,4,3,3,8,7,41,4,3,3,5,5
42,5,3,3,9,8,42,5,3,3,6,6
43,6,3,4,10,9,43,6,3,4,7,7
44,7,4,3,11,10,44,7,4,3,8,8
45,3,3,4,3,2,45,3,3,4,3,2
46,4,4,4,4,3,46,4,4,4,4,3
47,5,4,5,5,4,47,5,4,5,5,3
48,6,4,2,6,5,48,6,4,2,6,4
49,7,5,3,7,6,49,7,5,3,7,5
50,1,1,3,1,7,50,1,1,3,1,5
51,2,2,4,2,8,51,2,2,4,2,6
52,3,2,3,3,9,52,3,2,3,3,7
53,4,2,4,4,2,53,4,2,4,4,2
54,5,3,4,5,3,54,5,3,4,5,2
55,2,2,5,6,4,55,2,2,5,4,3
56,3,3,3,7,5,56,3,3,3,5,4
57,4,3,4,8,6,57,4,3,4,6,4
58,5,3,4,9,7,58,5,3,4,7,5
59,6,4,5,10,8,59,6,4,5,8,6
60,2,2,4,2,9,60,2,2,4,2,6
61,3,3,5,3,10,61,3,3,5,3,7
62,4,3,5,4,2,62,4,3,5,4,2
63,5,3,6,5,3,63,5,3,6,5,3
64,6,4,1,6,4,64,6,4,1,6,3
65,3,2,2,7,5,65,3,2,2,5,4
66,4,3,2,8,1,66,4,3,2,6,1
67,5,3,3,9,2,67,5,3,3,7,2
68,6,3,2,10,3,68,6,3,2,8,3
69,7,4,3,11,4,69,7,4,3,9,4
70,3,2,3,3,5,70,3,2,3,3,2
71,4,3,4,4,6,71,4,3,4,4,3
72,5,3,2,5,7,72,5,3,2,5,3
73,6,3,3,6,8,73,6,3,3,6,4
74,7,4,3,7,9,74,7,4,3,7,4
75,2,3,4,2,10,75,2,3,4,2,5
76,3,4,3,3,2,76,3,4,3,3,2
77,4,4,4,4,3,77,4,4,4,4,3
78,5,4,4,5,4,78,5,4,4,5,4
79,6,5,5,6,5,79,6,5,5,6,5
80,3,3,2,7,6,80,3,3,2,4,3
81,4,4,3,8,7,81,4,4,3,5,3
82,5,4,3,9,8,82,5,4,3,6,4
83,6,4,4,10,9,83,6,4,4,7,5
84,7,5,3,11,2,84,7,5,3,8,2
85,3,3,4,3,3,85,3,3,4,3,3
86,4,4,4,4,4,86,4,4,4,4,3
87,5,4,5,5,5,87,5,4,5,5,4
88,6,4,3,6,6,88,6,4,3,6,3
89,7,5,4,7,7,89,7,5,4,7,3
90,4,3,4,8,8,90,4,3,4,5,4
91,5,4,5,9,9,91,5,4,5,6,4
92,6,4,4,10,10,92,6,4,4,7,5
93,7,4,5,11,2,93,7,4,5,8,2
94,8,5,5,12,3,94,8,5,5,9,3
95,4,4,6,4,4,95,4,4,6,4,4
96,5,5,2,5,5,96,5,5,2,5,4
97,6,5,3,6,6,97,6,5,3,6,3
98,7,5,3,7,7,98,7,5,3,7,4
99,8,6,4,8,8,99,8,6,4,8,4
100,1,1,3,1,9,100,1,1,3,1,5
101,2,2,4,2,2,101,2,2,4,2,2
102,3,2,4,3,3,102,3,2,4,3,3
103,4,2,5,4,4,103,4,2,5,4,3
104,5,3,3,5,5,104,5,3,3,5,4
105,2,2,4,6,6,105,2,2,4,5,3
106,3,3,4,7,7,106,3,3,4,6,4
107,4,3,5,8,8,107,4,3,5,7,4
108,5,3,4,9,9,108,5,3,4,8,4
109,6,4,5,10,10,109,6,4,5,9,5
110,2,2,5,2,11,110,2,2,5,2,6
111,3,3,6,3,3,111,3,3,6,3,3
112,4,3,3,4,4,112,4,3,3,4,4
113,5,3,4,5,5,113,5,3,4,5,4
114,6,4,4,6,6,114,6,4,4,6,5
115,3,2,5,7,7,115,3,2,5,6,4
116,4,3,4,8,8,116,4,3,4,7,4
117,5,3,5,9,9,117,5,3,5,8,5
118,6,3,5,10,10,118,6,3,5,9,5
119,7,4,6,11,3,119,7,4,6,10,3
120,3,2,4,3,4,120,3,2,4,3,3
121,4,3,5,4,5,121,4,3,5,4,4
122,5,3,5,5,6,122,5,3,5,5,5
123,6,3,6,6,7,123,6,3,6,6,4
124,7,4,5,7,8,124,7,4,5,7,4
125,2,3,6,2,9,125,2,3,6,2,5
126,3,4,6,3,10,126,3,4,6,3,5
127,4,4,7,4,11,127,4,4,7,4,6
128,5,4,2,5,3,128,5,4,2,5,3
