Size, p1 Avg, p2 Avg 1, p2 Avg 2, p2 Avg 3, Edit Distance 1,Edit Distance 2,Edit Distance 3
25,53198,40064,40607,39128,1,1,1
50,39671,50601,50329,51386,2,2,3
100,157842,320485,184743,184109,5,5,5
200,604226,691903,747516,700146,10,10,11
400,2512584,2886660,2858159,2951783,21,21,21
800,11929923,13498896,12701201,15021464,42,42,42
1600,44224310,49914391,52671226,48527534,83,84,84
3200,175589999,198225874,191225503,192581261,164,166,165
6400,707198731,775458665,759639867,763498428,330,332,333
12800,2722224996,3093726252,3086244383,3086928497,665,666,662
